Timestamp,NORAD_ID,Position_X_km,Position_Y_km,Position_Z_km,Velocity_X_kms,Velocity_Y_kms,Velocity_Z_kms,Mean_Motion_revs_day,Eccentricity,Inclination_deg,Propagation_Status
2025-02-16T18:40:00,44864,1754.804,-24.376,3609.466,-5.29573,1.13047,5.21962,14.1867,0.041182,39.41,0 (SUCCESS)
2025-03-22T05:55:00,30910,-5028.791,1413.366,207.768,0.38068,-2.37666,-1.29011,15.4019,0.011884,32.98,0 (SUCCESS)
2025-01-25T13:20:00,34840,-1625.509,565.621,602.122,-2.00775,7.01704,-4.73562,14.0986,0.034616,19.91,0 (SUCCESS)
2025-02-20T15:54:00,30207,-5371.713,1682.75,3963.204,-2.14862,1.26515,2.91334,14.1874,0.022331,51.75,0 (SUCCESS)
2025-04-07T08:16:00,32934,-6492.426,1502.845,-1429.196,4.50355,-0.07168,6.44389,14.6124,0.041454,88.96,0 (SUCCESS)
2025-03-25T10:09:00,34840,-6840.237,-2055.003,7052.404,-7.31117,4.56959,1.91908,14.0289,0.029053,97.29,0 (SUCCESS)
2025-02-23T05:44:00,35414,4328.053,6752.193,-1402.992,3.21772,-3.0894,-7.07985,15.3124,0.00498,39.75,0 (SUCCESS)
2025-03-15T23:49:00,42818,-1256.486,-1992.033,459.513,6.10281,5.76594,1.60148,15.2769,0.042518,3.74,0 (SUCCESS)
2025-04-27T23:21:00,38796,-3838.673,1369.636,5782.83,-3.88567,-1.50009,-4.50371,14.5622,0.024573,29.81,0 (SUCCESS)
2025-04-15T16:50:00,38114,3291.421,-4086.522,-958.293,3.42391,2.28459,4.01392,14.9285,0.015256,8.42,0 (SUCCESS)
2025-01-05T11:53:00,33549,924.808,3344.226,2887.807,-2.37297,4.31837,3.96146,14.1747,0.01057,52.5,0 (SUCCESS)
2025-04-02T11:23:00,41687,-2016.937,-6106.693,-6365.423,6.14465,-7.31427,-3.20783,14.6222,0.012403,43.14,0 (SUCCESS)
2025-01-01T19:02:00,43217,-7424.729,6572.644,6717.694,-0.2114,1.57609,7.37634,15.5573,0.029566,84.17,0 (SUCCESS)
2025-03-21T12:13:00,33549,-6758.547,3126.684,3370.147,-6.75954,2.53598,-6.81473,14.4306,0.005269,70.96,0 (SUCCESS)
2025-04-19T09:02:00,25021,-1545.917,6421.771,7499.301,1.88674,7.10872,-4.82073,15.5297,0.001017,33.85,0 (SUCCESS)
2025-02-27T10:55:00,43217,-1577.862,-332.203,-2606.933,-1.25541,-1.2416,-6.12117,14.7068,0.048352,75.58,0 (SUCCESS)
2025-04-09T14:15:00,32934,-7034.44,-5569.554,-5988.759,-0.5974,-6.52615,-0.11553,15.9486,0.005561,35.5,0 (SUCCESS)
2025-04-07T15:47:00,35414,-3659.076,6413.47,-3366.119,-6.93585,-4.19786,-4.38926,15.6721,0.015795,7.85,0 (SUCCESS)
2025-04-04T10:37:00,33549,1237.831,-6803.707,305.612,7.0875,-6.35089,-1.292,14.6037,0.044418,72.6,0 (SUCCESS)
2025-04-10T00:10:00,44864,-6405.636,-3861.602,4172.513,-1.44011,-1.95399,5.74488,14.6401,0.022097,26.53,0 (SUCCESS)
2025-03-03T23:38:00,30910,4730.482,2208.139,5265.684,-2.4857,-5.50744,-2.12701,14.6834,0.033793,26.17,0 (SUCCESS)
